Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 00:46:00.817000,GAS,10,0 days 00:01:24.843000,14.0,2.0,,,0 days 00:00:28.157000,0 days 00:00:28.793000,0 days 00:00:27.893000,0 days 00:45:04.131000,0 days 00:45:32.924000,0 days 00:46:00.817000,295.0,305.0,301.0,297.0,False,MEDIUM,14.0,False,Alpine,0 days 00:44:35.974000,2026-09-05 11:01:38.007,12,,,,False,True,FP3,51.7,31.4,40.1
0 days 00:47:25.533000,GAS,10,0 days 00:01:24.716000,15.0,2.0,,,0 days 00:00:27.994000,0 days 00:00:28.759000,0 days 00:00:27.963000,0 days 00:46:28.811000,0 days 00:46:57.570000,0 days 00:47:25.533000,295.0,306.0,302.0,296.0,False,MEDIUM,15.0,False,Alpine,0 days 00:46:00.817000,2026-09-05 11:03:02.850,1,,,,False,True,FP3,51.7,31.4,40.1
0 days 00:48:50.114000,GAS,10,0 days 00:01:24.581000,16.0,2.0,,,0 days 00:00:27.974000,0 days 00:00:28.680000,0 days 00:00:27.927000,0 days 00:47:53.507000,0 days 00:48:22.187000,0 days 00:48:50.114000,296.0,310.0,299.0,299.0,False,MEDIUM,16.0,False,Alpine,0 days 00:47:25.533000,2026-09-05 11:04:27.566,1,,,,False,True,FP3,51.7,31.4,40.1
0 days 00:50:41.672000,GAS,10,0 days 00:01:51.558000,17.0,2.0,,0 days 00:50:37.548000,0 days 00:00:33.968000,0 days 00:00:36.860000,0 days 00:00:40.730000,0 days 00:49:24.082000,0 days 00:50:00.942000,0 days 00:50:41.672000,229.0,241.0,,240.0,False,MEDIUM,17.0,False,Alpine,0 days 00:48:50.114000,2026-09-05 11:05:52.147,1,,,,False,False,FP3,51.7,31.4,40.1
0 days 01:00:42.987000,GAS,10,,18.0,3.0,0 days 00:58:58.779000,,,0 days 00:00:33.727000,0 days 00:00:31.544000,,0 days 01:00:11.622000,0 days 01:00:43.127000,252.0,276.0,304.0,163.0,False,SOFT,1.0,True,Alpine,0 days 00:50:41.672000,2026-09-05 11:07:43.705,1,,,,False,False,FP3,51.7,31.4,40.1
0 days 01:02:06.083000,GAS,10,0 days 00:01:23.096000,19.0,3.0,,,0 days 00:00:27.219000,0 days 00:00:28.142000,0 days 00:00:27.735000,0 days 01:01:10.206000,0 days 01:01:38.348000,0 days 01:02:06.083000,297.0,317.0,284.0,323.0,True,SOFT,2.0,True,Alpine,0 days 01:00:42.987000,2026-09-05 11:17:45.020,1,,,,False,True,FP3,51.7,31.4,40.1
0 days 01:04:09.610000,GAS,10,0 days 00:02:03.527000,20.0,3.0,,0 days 01:04:05.830000,0 days 00:00:38.254000,0 days 00:00:41.346000,0 days 00:00:43.927000,0 days 01:02:44.337000,0 days 01:03:25.683000,0 days 01:04:09.610000,203.0,234.0,,253.0,False,SOFT,3.0,True,Alpine,0 days 01:02:06.083000,2026-09-05 11:19:08.116,1,,,,False,False,FP3,51.3,31.3,40.8
0 days 01:12:26.792000,GAS,10,,21.0,4.0,0 days 01:10:33.254000,,,0 days 00:00:37.070000,0 days 00:00:38.740000,,0 days 01:11:48.312000,0 days 01:12:26.944000,255.0,262.0,301.0,155.0,False,SOFT,4.0,False,Alpine,0 days 01:04:09.610000,2026-09-05 11:21:11.643,12,,,,False,False,FP3,51.3,31.3,40.8
0 days 01:13:49.690000,GAS,10,0 days 00:01:22.898000,22.0,4.0,,,0 days 00:00:27.236000,0 days 00:00:28.028000,0 days 00:00:27.634000,0 days 01:12:54.028000,0 days 01:13:22.056000,0 days 01:13:49.690000,301.0,316.0,281.0,322.0,True,SOFT,5.0,False,Alpine,0 days 01:12:26.792000,2026-09-05 11:29:28.825,1,,,,False,True,FP3,51.3,31.3,40.8
0 days 01:15:51.940000,GAS,10,0 days 00:02:02.250000,23.0,4.0,,,0 days 00:00:35.614000,0 days 00:00:37.828000,0 days 00:00:48.808000,0 days 01:14:25.304000,0 days 01:15:03.132000,0 days 01:15:51.940000,224.0,212.0,76.0,242.0,False,SOFT,6.0,False,Alpine,0 days 01:13:49.690000,2026-09-05 11:30:51.723,1,,,,False,True,FP3,51.3,31.3,40.8
0 days 01:18:10.405000,GAS,10,0 days 00:02:18.465000,24.0,4.0,,0 days 01:18:06.651000,0 days 00:01:09.035000,0 days 00:00:30.369000,0 days 00:00:39.061000,0 days 01:17:00.975000,0 days 01:17:31.344000,0 days 01:18:10.405000,285.0,241.0,,295.0,False,SOFT,7.0,False,Alpine,0 days 01:15:51.940000,2026-09-05 11:32:53.973,1,,,,False,False,FP3,51.3,31.3,40.8
