Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:41:06.693000,HAD,6,0 days 00:02:11.995000,5.0,1.0,,,0 days 00:00:51.018000,0 days 00:00:52.180000,0 days 00:00:28.797000,0 days 00:39:45.716000,0 days 00:40:37.896000,0 days 00:41:06.693000,210.0,188.0,268.0,129.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:38:54.698000,2026-03-28 02:55:31.338,1,,,,False,True,FP3
0 days 00:42:38.217000,HAD,6,0 days 00:01:31.524000,6.0,1.0,,,0 days 00:00:32.911000,0 days 00:00:40.672000,0 days 00:00:17.941000,0 days 00:41:39.604000,0 days 00:42:20.276000,0 days 00:42:38.217000,277.0,315.0,272.0,278.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:41:06.693000,2026-03-28 02:57:43.333,1,,,,False,True,FP3
0 days 00:44:28.783000,HAD,6,0 days 00:01:50.566000,7.0,1.0,,,0 days 00:00:46.294000,0 days 00:00:46.089000,0 days 00:00:18.183000,0 days 00:43:24.511000,0 days 00:44:10.600000,0 days 00:44:28.783000,200.0,315.0,272.0,276.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:42:38.217000,2026-03-28 02:59:14.857,1,,,,False,True,FP3
0 days 00:46:02.780000,HAD,6,0 days 00:01:33.997000,8.0,1.0,,,0 days 00:00:33.956000,0 days 00:00:41.913000,0 days 00:00:18.128000,0 days 00:45:02.739000,0 days 00:45:44.652000,0 days 00:46:02.780000,268.0,310.0,277.0,276.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:44:28.783000,2026-03-28 03:01:05.423,1,,,,False,True,FP3
0 days 00:47:36.302000,HAD,6,0 days 00:01:33.522000,9.0,1.0,,,0 days 00:00:33.841000,0 days 00:00:41.696000,0 days 00:00:17.985000,0 days 00:46:36.621000,0 days 00:47:18.317000,0 days 00:47:36.302000,267.0,316.0,279.0,278.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:46:02.780000,2026-03-28 03:02:39.420,1,,,,False,True,FP3
0 days 00:49:09.615000,HAD,6,0 days 00:01:33.313000,10.0,1.0,,,0 days 00:00:33.743000,0 days 00:00:41.666000,0 days 00:00:17.904000,0 days 00:48:10.045000,0 days 00:48:51.711000,0 days 00:49:09.615000,266.0,318.0,280.0,281.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 00:47:36.302000,2026-03-28 03:04:12.942,1,,,,False,True,FP3
0 days 00:50:46.259000,HAD,6,0 days 00:01:36.644000,11.0,1.0,,,0 days 00:00:33.732000,0 days 00:00:41.568000,0 days 00:00:21.344000,0 days 00:49:43.347000,0 days 00:50:24.915000,0 days 00:50:46.259000,274.0,326.0,236.0,287.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 00:49:09.615000,2026-03-28 03:05:46.255,1,,,,False,True,FP3
0 days 00:52:24.042000,HAD,6,0 days 00:01:37.783000,12.0,1.0,,0 days 00:52:22.699000,0 days 00:00:34.599000,0 days 00:00:42.552000,0 days 00:00:20.632000,0 days 00:51:20.858000,0 days 00:52:03.410000,0 days 00:52:24.042000,268.0,282.0,,269.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 00:50:46.259000,2026-03-28 03:07:22.899,1,,,,False,False,FP3
0 days 01:02:45.303000,HAD,6,,13.0,2.0,0 days 01:00:44.909000,,,0 days 00:00:47.589000,0 days 00:00:23.443000,,0 days 01:02:22.011000,0 days 01:02:45.452000,234.0,210.0,266.0,219.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:52:24.042000,2026-03-28 03:09:00.682,12,,,,False,False,FP3
0 days 01:04:16.397000,HAD,6,0 days 00:01:31.094000,14.0,2.0,,,0 days 00:00:32.756000,0 days 00:00:40.566000,0 days 00:00:17.772000,0 days 01:03:18.059000,0 days 01:03:58.625000,0 days 01:04:16.397000,278.0,331.0,259.0,287.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:02:45.303000,2026-03-28 03:19:21.943,1,,,,False,True,FP3
