Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:42:23.746000,NOR,4,,10.0,3.0,0 days 00:40:20.579000,,,0 days 00:00:43.583000,0 days 00:00:31.617000,,0 days 00:41:52.257000,0 days 00:42:23.746000,186.0,119.0,288.0,146.0,False,SOFT,1.0,True,McLaren,0 days 00:34:07.904000,2025-05-03 20:35:27.931,1,,,,False,False,Q
0 days 00:43:50.245000,NOR,4,0 days 00:01:26.499000,11.0,3.0,,,0 days 00:00:28.731000,0 days 00:00:32.985000,0 days 00:00:24.783000,0 days 00:42:52.477000,0 days 00:43:25.462000,0 days 00:43:50.245000,221.0,194.0,285.0,334.0,True,SOFT,2.0,True,McLaren,0 days 00:42:23.746000,2025-05-03 20:43:43.773,1,,,,False,True,Q
0 days 00:45:45.506000,NOR,4,0 days 00:01:55.261000,12.0,3.0,,0 days 00:45:40.001000,0 days 00:00:35.712000,0 days 00:00:40.754000,0 days 00:00:38.795000,0 days 00:44:25.957000,0 days 00:45:06.711000,0 days 00:45:45.506000,200.0,166.0,,154.0,False,SOFT,3.0,True,McLaren,0 days 00:43:50.245000,2025-05-03 20:45:10.272,1,,,,False,False,Q
0 days 00:51:12.958000,NOR,4,,13.0,4.0,0 days 00:48:56.075000,,,0 days 00:00:43.431000,0 days 00:00:29.658000,,0 days 00:50:43.300000,0 days 00:51:13.144000,166.0,131.0,284.0,225.0,False,SOFT,4.0,False,McLaren,0 days 00:45:45.506000,2025-05-03 20:47:05.533,1,,,,False,False,Q
0 days 00:52:39.682000,NOR,4,0 days 00:01:26.724000,14.0,4.0,,,0 days 00:00:28.691000,0 days 00:00:33.233000,0 days 00:00:24.800000,0 days 00:51:41.649000,0 days 00:52:14.882000,0 days 00:52:39.682000,222.0,190.0,280.0,336.0,False,SOFT,5.0,False,McLaren,0 days 00:51:12.958000,2025-05-03 20:52:32.985,1,,,,False,True,Q
0 days 00:54:34.626000,NOR,4,0 days 00:01:54.944000,15.0,4.0,,0 days 00:54:27.845000,0 days 00:00:34.478000,0 days 00:00:39.427000,0 days 00:00:41.039000,0 days 00:53:14.160000,0 days 00:53:53.587000,0 days 00:54:34.626000,192.0,145.0,,206.0,False,SOFT,6.0,False,McLaren,0 days 00:52:39.682000,2025-05-03 20:53:59.709,1,,,,False,False,Q
0 days 01:04:26.360000,NOR,4,,16.0,5.0,0 days 01:02:22.522000,,,0 days 00:00:42.267000,0 days 00:00:28.329000,,0 days 01:03:58.080000,0 days 01:04:26.482000,151.0,143.0,285.0,266.0,False,SOFT,1.0,True,McLaren,0 days 00:54:34.626000,2025-05-03 20:55:54.653,1,,,,False,False,Q
0 days 01:05:52.855000,NOR,4,0 days 00:01:26.495000,17.0,5.0,,,0 days 00:00:28.337000,0 days 00:00:33.024000,0 days 00:00:25.134000,0 days 01:04:54.697000,0 days 01:05:27.721000,0 days 01:05:52.855000,222.0,193.0,285.0,335.0,True,SOFT,2.0,True,McLaren,0 days 01:04:26.360000,2025-05-03 21:05:46.387,1,,,,False,True,Q
0 days 01:07:39.352000,NOR,4,0 days 00:01:46.497000,18.0,5.0,,0 days 01:07:33.832000,0 days 00:00:33.961000,0 days 00:00:37.764000,0 days 00:00:34.772000,0 days 01:06:26.816000,0 days 01:07:04.580000,0 days 01:07:39.352000,203.0,185.0,,196.0,False,SOFT,3.0,True,McLaren,0 days 01:05:52.855000,2025-05-03 21:07:12.882,1,,,,False,False,Q
0 days 01:12:23.691000,NOR,4,,19.0,6.0,0 days 01:10:23.118000,,,0 days 00:00:43.516000,0 days 00:00:27.130000,,0 days 01:11:56.632000,0 days 01:12:23.860000,155.0,154.0,287.0,278.0,False,SOFT,1.0,True,McLaren,0 days 01:07:39.352000,2025-05-03 21:08:59.379,1,,,,False,False,Q
