Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:17:59.024000,HAD,6,0 days 00:02:06.790000,8.0,2.0,,0 days 00:17:53.417000,0 days 00:00:49.023000,0 days 00:00:41.741000,0 days 00:00:36.026000,0 days 00:16:41.257000,0 days 00:17:22.998000,0 days 00:17:59.024000,171.0,144.0,,233.0,False,HARD,8.0,False,Red Bull Racing,0 days 00:15:52.234000,2026-05-01 16:15:52.324,1,,,,False,False,FP1
0 days 00:27:21.845000,HAD,6,,9.0,3.0,0 days 00:25:33.669000,,,0 days 00:00:41.315000,0 days 00:00:31.105000,,0 days 00:26:50.964000,0 days 00:27:22.011000,171.0,150.0,257.0,253.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:17:59.024000,2026-05-01 16:17:59.114,1,,,,False,False,FP1
0 days 00:28:53.432000,HAD,6,0 days 00:01:31.587000,10.0,3.0,,,0 days 00:00:31.281000,0 days 00:00:34.516000,0 days 00:00:25.790000,0 days 00:27:53.126000,0 days 00:28:27.642000,0 days 00:28:53.432000,220.0,188.0,257.0,307.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:27:21.845000,2026-05-01 16:27:21.935,1,,,,False,True,FP1
0 days 00:31:16.808000,HAD,6,0 days 00:02:23.376000,11.0,3.0,,,0 days 00:00:51.547000,0 days 00:00:54.252000,0 days 00:00:37.577000,0 days 00:29:44.979000,0 days 00:30:39.231000,0 days 00:31:16.808000,135.0,127.0,194.0,203.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:28:53.432000,2026-05-01 16:28:53.522,1,,,,False,True,FP1
0 days 00:33:17.189000,HAD,6,0 days 00:02:00.381000,12.0,3.0,,,0 days 00:00:42.931000,0 days 00:00:43.564000,0 days 00:00:33.886000,0 days 00:31:59.739000,0 days 00:32:43.303000,0 days 00:33:17.189000,159.0,142.0,245.0,232.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:31:16.808000,2026-05-01 16:31:16.898,1,,,,False,True,FP1
0 days 00:34:48.761000,HAD,6,0 days 00:01:31.572000,13.0,3.0,,,0 days 00:00:31.526000,0 days 00:00:34.448000,0 days 00:00:25.598000,0 days 00:33:48.715000,0 days 00:34:23.163000,0 days 00:34:48.761000,220.0,188.0,256.0,313.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:33:17.189000,2026-05-01 16:33:17.279,1,,,,False,True,FP1
0 days 00:36:44.817000,HAD,6,0 days 00:01:56.056000,14.0,3.0,,0 days 00:36:39.409000,0 days 00:00:38.713000,0 days 00:00:41.084000,0 days 00:00:36.259000,0 days 00:35:27.474000,0 days 00:36:08.558000,0 days 00:36:44.817000,175.0,148.0,,233.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:34:48.761000,2026-05-01 16:34:48.851,1,,,,False,False,FP1
0 days 00:44:49.486000,HAD,6,,15.0,4.0,0 days 00:42:47.509000,,,0 days 00:00:36.020000,0 days 00:00:26.981000,,0 days 00:44:22.632000,0 days 00:44:49.585000,205.0,171.0,252.0,297.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:36:44.817000,2026-05-01 16:36:44.907,1,,,,False,False,FP1
0 days 00:46:24.770000,HAD,6,0 days 00:01:35.284000,16.0,4.0,,,0 days 00:00:33.055000,0 days 00:00:35.384000,0 days 00:00:26.845000,0 days 00:45:22.541000,0 days 00:45:57.925000,0 days 00:46:24.770000,213.0,171.0,254.0,297.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:44:49.486000,2026-05-01 16:44:49.576,1,,,,False,True,FP1
0 days 00:47:59.201000,HAD,6,0 days 00:01:34.431000,17.0,4.0,,,0 days 00:00:32.575000,0 days 00:00:35.400000,0 days 00:00:26.456000,0 days 00:46:57.345000,0 days 00:47:32.745000,0 days 00:47:59.201000,216.0,181.0,268.0,300.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:46:24.770000,2026-05-01 16:46:24.860,1,,,,False,True,FP1
