Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:34:24.911000,NOR,1,,8.0,2.0,0 days 00:32:27.982000,,,0 days 00:00:43.775000,0 days 00:00:33.599000,,0 days 00:33:51.482000,0 days 00:34:24.912000,104.0,120.0,258.0,269.0,False,MEDIUM,1.0,True,McLaren,0 days 00:26:38.885000,2026-05-01 20:44:58.888,1,,,,False,False,SQ
0 days 00:35:54.277000,NOR,1,0 days 00:01:29.366000,9.0,2.0,,,0 days 00:00:29.960000,0 days 00:00:34.152000,0 days 00:00:25.254000,0 days 00:34:54.871000,0 days 00:35:29.023000,0 days 00:35:54.277000,222.0,189.0,262.0,321.0,True,MEDIUM,2.0,True,McLaren,0 days 00:34:24.911000,2026-05-01 20:52:44.914,1,,,,False,True,SQ
0 days 00:37:55.939000,NOR,1,0 days 00:02:01.662000,10.0,2.0,,,0 days 00:00:42.500000,0 days 00:00:44.603000,0 days 00:00:34.559000,0 days 00:36:36.777000,0 days 00:37:21.380000,0 days 00:37:55.939000,163.0,143.0,176.0,193.0,False,MEDIUM,3.0,True,McLaren,0 days 00:35:54.277000,2026-05-01 20:54:14.280,1,,,,False,True,SQ
0 days 00:40:07.156000,NOR,1,0 days 00:02:11.217000,11.0,2.0,,,0 days 00:00:43.838000,0 days 00:00:46.194000,0 days 00:00:41.185000,0 days 00:38:39.777000,0 days 00:39:25.971000,0 days 00:40:07.156000,155.0,98.0,242.0,63.0,False,MEDIUM,4.0,True,McLaren,0 days 00:37:55.939000,2026-05-01 20:56:15.942,1,,,,False,True,SQ
0 days 00:41:53.136000,NOR,1,0 days 00:01:45.980000,12.0,2.0,,0 days 00:41:45.502000,0 days 00:00:30.565000,0 days 00:00:33.688000,0 days 00:00:41.727000,0 days 00:40:37.721000,0 days 00:41:11.409000,0 days 00:41:53.136000,223.0,193.0,,197.0,False,MEDIUM,5.0,True,McLaren,0 days 00:40:07.156000,2026-05-01 20:58:27.159,1,,,,False,False,SQ
0 days 00:53:25.072000,NOR,1,,13.0,3.0,0 days 00:51:31.005000,,,0 days 00:00:42.577000,0 days 00:00:29.053000,,0 days 00:52:56.094000,0 days 00:53:25.085000,167.0,139.0,260.0,271.0,False,SOFT,1.0,True,McLaren,0 days 00:41:53.136000,2026-05-01 21:00:13.139,1,,,,False,False,SQ
0 days 00:54:52.941000,NOR,1,0 days 00:01:27.869000,14.0,3.0,,,0 days 00:00:29.682000,0 days 00:00:33.433000,0 days 00:00:24.754000,0 days 00:53:54.754000,0 days 00:54:28.187000,0 days 00:54:52.941000,221.0,192.0,263.0,322.0,True,SOFT,2.0,True,McLaren,0 days 00:53:25.072000,2026-05-01 21:11:45.075,1,,,,False,True,SQ
0 days 00:56:56.519000,NOR,1,,15.0,3.0,,0 days 00:56:56.519000,0 days 00:00:43.440000,0 days 00:00:42.592000,,0 days 00:55:36.335000,0 days 00:56:18.953000,,200.0,160.0,,167.0,False,SOFT,3.0,True,McLaren,0 days 00:54:52.941000,2026-05-01 21:13:12.944,1,,,,False,False,SQ
0 days 00:15:13.681000,GAS,10,,1.0,1.0,0 days 00:13:08.527000,,,0 days 00:00:46.938000,0 days 00:00:30.069000,,0 days 00:14:43.759000,0 days 00:15:13.851000,202.0,162.0,271.0,259.0,False,MEDIUM,1.0,True,Alpine,0 days 00:13:08.527000,2026-05-01 20:31:28.530,1,,,,False,False,SQ
0 days 00:16:43.864000,GAS,10,0 days 00:01:30.183000,2.0,1.0,,,0 days 00:00:30.919000,0 days 00:00:34.050000,0 days 00:00:25.214000,0 days 00:15:44.600000,0 days 00:16:18.650000,0 days 00:16:43.864000,218.0,189.0,256.0,327.0,True,MEDIUM,2.0,True,Alpine,0 days 00:15:13.681000,2026-05-01 20:33:33.684,12,,,,False,True,SQ
