Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
ANT,12,71.569,21.0,5.0,17.494,32.151,21.924,298.0,206.0,281.0,299.0,False,MEDIUM,18.0,False,Mercedes,0 days 00:57:08.734000,1,FP1,49.6,30.6,29.1
ANT,12,71.651,22.0,5.0,17.589,32.08,21.982,294.0,208.0,284.0,295.0,False,MEDIUM,19.0,False,Mercedes,0 days 00:58:20.303000,1,FP1,49.6,30.6,29.1
ANT,12,71.852,23.0,5.0,17.534,32.196,22.122,293.0,209.0,283.0,295.0,False,MEDIUM,20.0,False,Mercedes,0 days 00:59:31.954000,1,FP1,49.6,30.6,29.1
ANT,12,71.865,24.0,5.0,17.529,32.22,22.116,295.0,208.0,285.0,294.0,False,MEDIUM,21.0,False,Mercedes,0 days 01:00:43.806000,1,FP1,49.6,30.6,29.1
ANT,12,74.093,25.0,5.0,19.055,32.759,22.279,300.0,214.0,286.0,297.0,False,MEDIUM,22.0,False,Mercedes,0 days 01:01:55.671000,1,FP1,49.6,30.6,29.1
ANT,12,71.985,26.0,5.0,17.475,32.305,22.205,304.0,206.0,286.0,302.0,False,MEDIUM,23.0,False,Mercedes,0 days 01:03:09.764000,1,FP1,49.6,30.6,29.1
ANT,12,71.959,27.0,5.0,17.456,32.257,22.246,299.0,205.0,285.0,298.0,False,MEDIUM,24.0,False,Mercedes,0 days 01:04:21.749000,1,FP1,49.6,30.6,29.1
ANT,12,77.042,28.0,5.0,17.495,32.506,27.041,297.0,205.0,283.0,299.0,False,MEDIUM,25.0,False,Mercedes,0 days 01:05:33.708000,1,FP1,50.0,30.6,29.8
ALO,14,73.024,2.0,1.0,17.963,32.405,22.656,290.0,214.0,262.0,289.0,True,HARD,2.0,True,Aston Martin,0 days 00:16:01.361000,1,FP1,50.0,30.6,29.8
ALO,14,99.638,3.0,1.0,25.725,41.742,32.171,192.0,102.0,255.0,254.0,False,HARD,3.0,True,Aston Martin,0 days 00:17:14.385000,1,FP1,50.0,30.6,29.8
ALO,14,72.269,4.0,1.0,17.867,32.115,22.287,291.0,212.0,260.0,290.0,True,HARD,4.0,True,Aston Martin,0 days 00:18:54.023000,1,FP1,50.0,30.6,29.8
ALO,14,106.796,5.0,1.0,29.866,49.55,27.38,142.0,170.0,254.0,213.0,False,HARD,5.0,True,Aston Martin,0 days 00:20:06.292000,1,FP1,50.3,30.1,29.0
ALO,14,72.294,6.0,1.0,17.916,32.093,22.285,290.0,211.0,262.0,289.0,False,HARD,6.0,True,Aston Martin,0 days 00:21:53.088000,1,FP1,50.3,30.1,29.0
ALO,14,118.908,7.0,1.0,31.187,58.397,29.324,171.0,141.0,253.0,118.0,False,HARD,7.0,True,Aston Martin,0 days 00:23:05.382000,1,FP1,50.3,30.1,29.0
ALO,14,72.876,10.0,2.0,17.948,32.399,22.529,284.0,207.0,230.0,288.0,False,HARD,10.0,False,Aston Martin,0 days 00:39:01.367000,1,FP1,50.3,30.1,29.0
ALO,14,100.067,11.0,2.0,27.932,45.576,26.559,228.0,174.0,255.0,219.0,False,HARD,11.0,False,Aston Martin,0 days 00:40:14.243000,1,FP1,50.3,30.1,29.0
ALO,14,77.318,12.0,2.0,17.905,32.095,27.318,287.0,210.0,208.0,289.0,False,HARD,12.0,False,Aston Martin,0 days 00:41:54.310000,1,FP1,50.3,30.1,29.0
ALO,14,89.296,13.0,2.0,22.834,39.765,26.697,235.0,167.0,254.0,241.0,False,HARD,13.0,False,Aston Martin,0 days 00:43:11.628000,1,FP1,50.3,30.1,29.0
ALO,14,72.902,14.0,2.0,17.996,32.37,22.536,285.0,212.0,263.0,286.0,False,HARD,14.0,False,Aston Martin,0 days 00:44:40.924000,1,FP1,49.7,30.8,28.5
ALO,14,71.333,17.0,3.0,17.741,31.62,21.972,287.0,215.0,264.0,289.0,True,SOFT,2.0,True,Aston Martin,0 days 00:59:52.807000,1,FP1,49.7,30.8,28.5
ALO,14,95.434,20.0,4.0,20.84,41.31,33.284,240.0,180.0,254.0,239.0,False,SOFT,5.0,False,Aston Martin,0 days 01:05:08.138000,1,FP1,49.7,30.9,28.5
ALB,23,71.316,2.0,1.0,17.488,31.672,22.156,303.0,214.0,259.0,309.0,True,HARD,2.0,True,Williams,0 days 00:15:34.072000,1,FP1,49.7,30.9,28.5
ALB,23,100.93,3.0,1.0,23.494,52.885,24.551,199.0,164.0,271.0,182.0,False,HARD,3.0,True,Williams,0 days 00:16:45.388000,1,FP1,49.7,30.9,28.5
ALB,23,71.285,4.0,1.0,17.298,31.642,22.345,303.0,213.0,252.0,308.0,True,HARD,4.0,True,Williams,0 days 00:18:26.318000,1,FP1,49.7,30.9,28.5
ALB,23,70.853,7.0,2.0,17.287,31.552,22.014,305.0,213.0,261.0,309.0,True,HARD,7.0,False,Williams,0 days 00:23:23.223000,1,FP1,49.7,30.1,28.5
ALB,23,106.964,8.0,2.0,26.472,49.413,31.079,176.0,148.0,230.0,171.0,False,HARD,8.0,False,Williams,0 days 00:24:34.076000,1,FP1,49.7,30.1,28.5
ALB,23,85.308,9.0,2.0,20.547,40.135,24.626,275.0,197.0,269.0,222.0,False,HARD,9.0,False,Williams,0 days 00:26:21.040000,1,FP1,49.7,30.1,28.5
ALB,23,84.377,10.0,2.0,17.327,36.554,30.496,304.0,148.0,217.0,310.0,False,HARD,10.0,False,Williams,0 days 00:27:46.348000,1,FP1,49.7,30.1,28.5
ALB,23,89.84,11.0,2.0,23.877,40.174,25.789,198.0,152.0,271.0,189.0,False,HARD,11.0,False,Williams,0 days 00:29:10.725000,1,FP1,49.7,30.1,28.5
ALB,23,70.699,12.0,2.0,17.219,31.526,21.954,306.0,212.0,260.0,311.0,True,HARD,12.0,False,Williams,0 days 00:30:40.565000,1,FP1,49.7,30.5,28.5
ALB,23,97.399,13.0,2.0,24.315,44.271,28.813,161.0,151.0,239.0,209.0,False,HARD,13.0,False,Williams,0 days 00:31:51.264000,1,FP1,49.7,30.5,28.5
ALB,23,89.436,14.0,2.0,21.097,43.608,24.731,240.0,171.0,269.0,213.0,False,HARD,14.0,False,Williams,0 days 00:33:28.663000,1,FP1,49.7,30.5,28.5
ALB,23,70.607,15.0,2.0,17.243,31.435,21.929,308.0,215.0,257.0,313.0,True,HARD,15.0,False,Williams,0 days 00:34:58.099000,1,FP1,49.7,30.5,28.5
ALB,23,69.644,18.0,3.0,17.167,30.977,21.5,308.0,216.0,258.0,311.0,True,SOFT,2.0,True,Williams,0 days 00:47:11.212000,1,FP1,49.7,30.5,28.5
ALB,23,116.782,19.0,3.0,29.852,52.369,34.561,147.0,121.0,187.0,169.0,False,SOFT,3.0,True,Williams,0 days 00:48:20.856000,1,FP1,49.7,30.5,28.5
ALB,23,96.706,20.0,3.0,24.585,48.407,23.714,194.0,200.0,271.0,138.0,False,SOFT,4.0,True,Williams,0 days 00:50:17.638000,1,FP1,49.7,30.5,28.5
ALB,23,69.831,21.0,3.0,17.184,31.073,21.574,307.0,216.0,257.0,310.0,False,SOFT,5.0,True,Williams,0 days 00:51:54.344000,1,FP1,49.7,30.5,28.5
ALB,23,72.579,24.0,4.0,17.599,32.357,22.623,294.0,206.0,282.0,296.0,False,SOFT,8.0,False,Williams,0 days 01:03:00.987000,1,FP1,49.7,30.5,28.5
ALB,23,72.785,25.0,4.0,17.693,32.477,22.615,300.0,203.0,283.0,298.0,False,SOFT,9.0,False,Williams,0 days 01:04:13.566000,1,FP1,50.4,30.1,27.8
ALB,23,72.785,26.0,4.0,17.65,32.497,22.638,300.0,202.0,277.0,296.0,False,SOFT,10.0,False,Williams,0 days 01:05:26.351000,1,FP1,50.4,30.1,27.8
ALB,23,73.301,27.0,4.0,17.821,32.739,22.741,300.0,202.0,280.0,298.0,False,SOFT,11.0,False,Williams,0 days 01:06:39.136000,1,FP1,50.4,30.1,27.8
ALB,23,73.33,28.0,4.0,17.753,32.752,22.825,302.0,200.0,280.0,300.0,False,SOFT,12.0,False,Williams,0 days 01:07:52.437000,1,FP1,50.4,30.1,27.8
ALB,23,74.015,29.0,4.0,17.778,33.207,23.03,301.0,200.0,279.0,298.0,False,SOFT,13.0,False,Williams,0 days 01:09:05.767000,1,FP1,50.4,30.1,27.8
ALB,23,75.593,30.0,4.0,18.3,33.551,23.742,306.0,202.0,280.0,305.0,False,SOFT,14.0,False,Williams,0 days 01:10:19.782000,12,FP1,50.4,30.1,27.8
HUL,27,72.541,2.0,1.0,17.588,33.007,21.946,303.0,226.0,255.0,292.0,True,MEDIUM,2.0,True,Audi,0 days 00:15:12.659000,1,FP1,50.4,30.8,27.8
HUL,27,102.262,3.0,1.0,25.887,46.13,30.245,164.0,149.0,286.0,170.0,False,MEDIUM,3.0,True,Audi,0 days 00:16:25.200000,1,FP1,50.4,30.8,27.8
HUL,27,70.557,4.0,1.0,17.245,31.599,21.713,305.0,220.0,259.0,300.0,True,MEDIUM,4.0,True,Audi,0 days 00:18:07.462000,1,FP1,50.4,30.8,27.8
HUL,27,102.299,5.0,1.0,25.855,44.975,31.469,168.0,125.0,187.0,167.0,False,MEDIUM,5.0,True,Audi,0 days 00:19:18.019000,1,FP1,50.4,30.8,27.8
HUL,27,99.835,6.0,1.0,26.507,45.779,27.549,186.0,159.0,285.0,204.0,False,MEDIUM,6.0,True,Audi,0 days 00:21:00.318000,1,FP1,50.4,30.8,27.8
HUL,27,70.425,9.0,2.0,17.366,31.492,21.567,303.0,231.0,264.0,298.0,True,MEDIUM,9.0,False,Audi,0 days 00:27:54.212000,1,FP1,50.4,30.8,27.8
HUL,27,103.015,10.0,2.0,25.26,46.626,31.129,139.0,152.0,206.0,162.0,False,MEDIUM,10.0,False,Audi,0 days 00:29:04.637000,1,FP1,50.4,30.8,27.8
HUL,27,94.993,11.0,2.0,24.09,39.555,31.348,208.0,173.0,289.0,230.0,False,MEDIUM,11.0,False,Audi,0 days 00:30:47.652000,1,FP1,50.4,30.8,27.8
HUL,27,70.282,12.0,2.0,17.214,31.634,21.434,301.0,233.0,264.0,296.0,True,MEDIUM,12.0,False,Audi,0 days 00:32:22.645000,1,FP1,50.4,30.8,27.8
HUL,27,69.165,15.0,3.0,16.984,30.962,21.219,306.0,225.0,269.0,301.0,True,SOFT,2.0,True,Audi,0 days 00:43:35.386000,1,FP1,50.4,30.8,27.8
HUL,27,69.994,18.0,4.0,17.173,31.501,21.32,301.0,232.0,264.0,295.0,False,SOFT,5.0,False,Audi,0 days 00:50:29.081000,1,FP1,50.4,30.8,27.8
HUL,27,73.396,21.0,5.0,18.117,32.64,22.639,279.0,217.0,273.0,272.0,False,MEDIUM,15.0,False,Audi,0 days 00:59:34.928000,1,FP1,50.1,29.9,27.8
HUL,27,72.257,22.0,5.0,17.696,32.327,22.234,301.0,215.0,281.0,294.0,False,MEDIUM,16.0,False,Audi,0 days 01:00:48.324000,1,FP1,50.1,29.9,27.8
HUL,27,72.099,23.0,5.0,17.373,32.511,22.215,318.0,212.0,285.0,293.0,False,MEDIUM,17.0,False,Audi,0 days 01:02:00.581000,1,FP1,50.1,29.9,27.8
HUL,27,72.379,24.0,5.0,17.388,32.468,22.523,306.0,214.0,282.0,305.0,False,MEDIUM,18.0,False,Audi,0 days 01:03:12.680000,1,FP1,50.1,29.9,27.8
HUL,27,72.683,25.0,5.0,17.533,32.623,22.527,303.0,212.0,281.0,309.0,False,MEDIUM,19.0,False,Audi,0 days 01:04:25.059000,1,FP1,50.1,29.9,27.8
HUL,27,74.247,26.0,5.0,18.182,33.362,22.703,298.0,210.0,284.0,294.0,False,MEDIUM,20.0,False,Audi,0 days 01:05:37.742000,1,FP1,50.1,29.9,27.8
HUL,27,75.023,27.0,5.0,17.67,33.168,24.185,306.0,212.0,269.0,313.0,False,MEDIUM,21.0,False,Audi,0 days 01:06:51.989000,1,FP1,50.1,29.9,27.8
HUL,27,73.689,28.0,5.0,17.931,33.058,22.7,297.0,210.0,277.0,292.0,False,MEDIUM,22.0,False,Audi,0 days 01:08:07.012000,1,FP1,50.1,29.9,27.8
HUL,27,73.969,29.0,5.0,17.802,33.146,23.021,300.0,208.0,278.0,293.0,False,MEDIUM,23.0,False,Audi,0 days 01:09:20.701000,1,FP1,50.1,29.9,27.8
LIN,41,72.263,2.0,1.0,17.824,32.246,22.193,313.0,224.0,251.0,311.0,True,HARD,2.0,True,Racing Bulls,0 days 00:16:05.832000,1,FP1,50.9,30.1,27.8
LIN,41,100.197,3.0,1.0,22.7,48.093,29.404,199.0,174.0,260.0,205.0,False,HARD,3.0,True,Racing Bulls,0 days 00:17:18.095000,1,FP1,50.9,30.1,27.8
LIN,41,70.425,4.0,1.0,17.294,31.535,21.596,316.0,221.0,271.0,314.0,True,HARD,4.0,True,Racing Bulls,0 days 00:18:58.292000,1,FP1,50.9,30.1,27.8
LIN,41,99.302,5.0,1.0,22.159,48.45,28.693,197.0,118.0,262.0,159.0,False,HARD,5.0,True,Racing Bulls,0 days 00:20:08.717000,1,FP1,50.9,30.1,27.8
LIN,41,72.291,6.0,1.0,17.221,33.449,21.621,315.0,223.0,275.0,309.0,False,HARD,6.0,True,Racing Bulls,0 days 00:21:48.019000,1,FP1,50.9,30.1,27.8
LIN,41,70.629,9.0,2.0,17.279,31.715,21.635,316.0,221.0,275.0,313.0,False,HARD,9.0,False,Racing Bulls,0 days 00:33:58.896000,1,FP1,50.9,30.1,27.8
LIN,41,98.095,10.0,2.0,21.691,41.161,35.243,199.0,142.0,156.0,199.0,False,HARD,10.0,False,Racing Bulls,0 days 00:35:09.525000,1,FP1,50.9,30.1,27.8
LIN,41,100.381,11.0,2.0,26.631,47.211,26.539,183.0,166.0,262.0,205.0,False,HARD,11.0,False,Racing Bulls,0 days 00:36:47.620000,1,FP1,50.8,31.0,28.0
LIN,41,70.02,12.0,2.0,17.175,31.422,21.423,314.0,220.0,277.0,310.0,True,HARD,12.0,False,Racing Bulls,0 days 00:38:28.001000,1,FP1,50.8,31.0,28.0
LIN,41,68.726,15.0,3.0,16.936,30.703,21.087,317.0,227.0,279.0,310.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:47:27.912000,1,FP1,50.8,31.0,28.0
COL,43,71.721,2.0,1.0,17.446,31.867,22.408,311.0,211.0,258.0,316.0,True,MEDIUM,2.0,True,Alpine,0 days 00:15:25.380000,1,FP1,50.2,30.6,28.0
COL,43,71.126,5.0,2.0,17.456,31.689,21.981,307.0,215.0,255.0,313.0,True,MEDIUM,5.0,False,Alpine,0 days 00:20:32.855000,1,FP1,50.2,30.6,28.0
