Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:28:05.024000,GAS,10,,4.0,2.0,0 days 00:26:36.379000,,,0 days 00:00:37.442000,0 days 00:00:27.626000,,0 days 00:27:37.584000,0 days 00:28:05.033000,254.0,180.0,273.0,265.0,False,HARD,4.0,False,Alpine,0 days 00:18:44.833000,2026-06-26 11:35:44.755,1,,,,False,False,FP1
0 days 00:29:15.890000,GAS,10,0 days 00:01:10.866000,5.0,2.0,,,0 days 00:00:17.349000,0 days 00:00:31.680000,0 days 00:00:21.837000,0 days 00:28:22.373000,0 days 00:28:54.053000,0 days 00:29:15.890000,312.0,217.0,259.0,311.0,True,HARD,5.0,False,Alpine,0 days 00:28:05.024000,2026-06-26 11:45:04.946,1,,,,False,True,FP1
0 days 00:31:11.196000,GAS,10,0 days 00:01:55.306000,6.0,2.0,,,0 days 00:00:32.506000,0 days 00:00:54.722000,0 days 00:00:28.078000,0 days 00:29:48.396000,0 days 00:30:43.118000,0 days 00:31:11.196000,112.0,143.0,271.0,177.0,False,HARD,6.0,False,Alpine,0 days 00:29:15.890000,2026-06-26 11:46:15.812,1,,,,False,True,FP1
0 days 00:32:21.529000,GAS,10,0 days 00:01:10.333000,7.0,2.0,,,0 days 00:00:17.221000,0 days 00:00:31.395000,0 days 00:00:21.717000,0 days 00:31:28.417000,0 days 00:31:59.812000,0 days 00:32:21.529000,312.0,217.0,260.0,312.0,True,HARD,7.0,False,Alpine,0 days 00:31:11.196000,2026-06-26 11:48:11.118,1,,,,False,True,FP1
0 days 00:34:21.296000,GAS,10,0 days 00:01:59.767000,8.0,2.0,,,0 days 00:00:32.611000,0 days 00:00:59.683000,0 days 00:00:27.473000,0 days 00:32:54.140000,0 days 00:33:53.823000,0 days 00:34:21.296000,103.0,180.0,272.0,105.0,False,HARD,8.0,False,Alpine,0 days 00:32:21.529000,2026-06-26 11:49:21.451,1,,,,False,True,FP1
0 days 00:35:31.665000,GAS,10,0 days 00:01:10.369000,9.0,2.0,,,0 days 00:00:17.336000,0 days 00:00:31.393000,0 days 00:00:21.640000,0 days 00:34:38.632000,0 days 00:35:10.025000,0 days 00:35:31.665000,311.0,220.0,260.0,316.0,False,HARD,9.0,False,Alpine,0 days 00:34:21.296000,2026-06-26 11:51:21.218,1,,,,False,True,FP1
0 days 00:37:16.914000,GAS,10,0 days 00:01:45.249000,10.0,2.0,,0 days 00:37:12.724000,0 days 00:00:27.230000,0 days 00:00:45.016000,0 days 00:00:33.003000,0 days 00:35:58.895000,0 days 00:36:43.911000,0 days 00:37:16.914000,158.0,143.0,,192.0,False,HARD,10.0,False,Alpine,0 days 00:35:31.665000,2026-06-26 11:52:31.587,1,,,,False,False,FP1
0 days 00:39:22.742000,GAS,10,0 days 00:02:05.828000,11.0,3.0,0 days 00:37:42.880000,,0 days 00:00:53.087000,0 days 00:00:41.181000,0 days 00:00:31.560000,0 days 00:38:10.001000,0 days 00:38:51.182000,0 days 00:39:22.742000,246.0,180.0,266.0,247.0,False,HARD,11.0,False,Alpine,0 days 00:37:16.914000,2026-06-26 11:54:16.836,1,,,,False,False,FP1
0 days 00:40:33.441000,GAS,10,0 days 00:01:10.699000,12.0,3.0,,,0 days 00:00:17.365000,0 days 00:00:31.589000,0 days 00:00:21.745000,0 days 00:39:40.107000,0 days 00:40:11.696000,0 days 00:40:33.441000,311.0,217.0,264.0,315.0,False,HARD,12.0,False,Alpine,0 days 00:39:22.742000,2026-06-26 11:56:22.664,1,,,,False,True,FP1
0 days 00:42:06.147000,GAS,10,0 days 00:01:32.706000,13.0,3.0,,0 days 00:42:01.916000,0 days 00:00:24.038000,0 days 00:00:37.887000,0 days 00:00:30.781000,0 days 00:40:57.479000,0 days 00:41:35.366000,0 days 00:42:06.147000,194.0,182.0,,220.0,False,HARD,13.0,False,Alpine,0 days 00:40:33.441000,2026-06-26 11:57:33.363,1,,,,False,False,FP1
