Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 00:22:42.962000,ANT,12,0 days 00:01:47.051000,4.0,1.0,,,0 days 00:00:30.927000,0 days 00:00:47.258000,0 days 00:00:28.866000,0 days 00:21:26.838000,0 days 00:22:14.096000,0 days 00:22:42.962000,292.0,211.0,217.0,303.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:20:55.911000,2026-07-17 15:07:36.227,1,,,,False,True,FP2,36.2,23.6,45.3
0 days 00:31:48.031000,ANT,12,,5.0,1.0,,0 days 00:26:06.886000,0 days 00:01:06.141000,,,0 days 00:23:49.262000,,,74.0,,,165.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:22:42.962000,2026-07-17 15:09:23.278,152,,,,False,False,FP2,35.6,23.8,43.7
0 days 00:34:00.368000,ANT,12,,6.0,2.0,0 days 00:31:48.031000,,,0 days 00:00:57.866000,0 days 00:00:33.438000,,0 days 00:33:27.171000,0 days 00:34:00.368000,278.0,166.0,215.0,216.0,False,SOFT,1.0,True,Mercedes,0 days 00:31:48.031000,2026-07-17 15:18:28.347,1,,,,False,False,FP2,34.9,24.1,41.2
0 days 00:35:46.312000,ANT,12,0 days 00:01:45.944000,7.0,2.0,,,0 days 00:00:30.536000,0 days 00:00:46.722000,0 days 00:00:28.686000,0 days 00:34:30.904000,0 days 00:35:17.626000,0 days 00:35:46.312000,299.0,212.0,219.0,307.0,True,SOFT,2.0,True,Mercedes,0 days 00:34:00.368000,2026-07-17 15:20:40.684,1,,,,False,True,FP2,34.5,24.1,40.7
0 days 00:38:08.321000,ANT,12,0 days 00:02:22.009000,8.0,2.0,,0 days 00:38:04.396000,0 days 00:00:39.316000,0 days 00:01:02.487000,0 days 00:00:40.206000,0 days 00:36:25.628000,0 days 00:37:28.115000,0 days 00:38:08.321000,234.0,167.0,,228.0,False,SOFT,3.0,True,Mercedes,0 days 00:35:46.312000,2026-07-17 15:22:26.628,1,,,,False,False,FP2,34.5,24.3,41.1
0 days 00:49:32.963000,ANT,12,,9.0,3.0,0 days 00:47:02.239000,,,0 days 00:00:55.125000,0 days 00:00:29.849000,,0 days 00:49:03.222000,0 days 00:49:33.009000,301.0,198.0,217.0,278.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:38:08.321000,2026-07-17 15:24:48.637,1,,,,False,False,FP2,34.5,24.4,41.5
0 days 00:51:24.414000,ANT,12,0 days 00:01:51.451000,10.0,3.0,,,0 days 00:00:31.307000,0 days 00:00:50.211000,0 days 00:00:29.933000,0 days 00:50:04.270000,0 days 00:50:54.481000,0 days 00:51:24.414000,314.0,201.0,217.0,300.0,False,MEDIUM,7.0,False,Mercedes,0 days 00:49:32.963000,2026-07-17 15:36:13.279,1,,,,False,True,FP2,32.1,24.4,40.5
0 days 00:53:16.085000,ANT,12,0 days 00:01:51.671000,11.0,3.0,,,0 days 00:00:31.382000,0 days 00:00:50.281000,0 days 00:00:30.008000,0 days 00:51:55.796000,0 days 00:52:46.077000,0 days 00:53:16.085000,315.0,202.0,216.0,299.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:51:24.414000,2026-07-17 15:38:04.730,1,,,,False,True,FP2,31.8,24.6,40.2
0 days 00:55:07.474000,ANT,12,0 days 00:01:51.389000,12.0,3.0,,,0 days 00:00:31.400000,0 days 00:00:50.071000,0 days 00:00:29.918000,0 days 00:53:47.485000,0 days 00:54:37.556000,0 days 00:55:07.474000,312.0,202.0,216.0,298.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:53:16.085000,2026-07-17 15:39:56.401,1,,,,False,True,FP2,30.7,24.7,39.6
0 days 00:56:59.007000,ANT,12,0 days 00:01:51.533000,13.0,3.0,,,0 days 00:00:31.436000,0 days 00:00:50.112000,0 days 00:00:29.985000,0 days 00:55:38.910000,0 days 00:56:29.022000,0 days 00:56:59.007000,314.0,201.0,215.0,298.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:55:07.474000,2026-07-17 15:41:47.790,1,,,,False,True,FP2,31.0,24.6,40.8
0 days 01:12:21.199000,ANT,12,,14.0,3.0,,0 days 00:58:57.842000,0 days 00:00:31.492000,0 days 00:00:50.383000,,0 days 00:57:30.606000,0 days 00:58:21.015000,,312.0,200.0,,,False,MEDIUM,11.0,False,Mercedes,0 days 00:56:59.007000,2026-07-17 15:43:39.323,125,,,,False,False,FP2,30.3,24.6,40.2
0 days 01:14:54.089000,ANT,12,,15.0,4.0,0 days 01:12:21.199000,,,0 days 00:00:51.854000,0 days 00:00:30.226000,,0 days 01:14:24.002000,0 days 01:14:54.089000,294.0,191.0,210.0,260.0,False,SOFT,4.0,False,Mercedes,0 days 01:12:21.199000,2026-07-17 15:59:01.515,1,,,,False,False,FP2,32.4,24.3,38.0
0 days 01:17:23.594000,ANT,12,0 days 00:02:29.505000,16.0,4.0,,,0 days 00:00:45.343000,0 days 00:01:01.648000,0 days 00:00:42.514000,0 days 01:15:39.432000,0 days 01:16:41.080000,0 days 01:17:23.594000,204.0,140.0,93.0,197.0,False,SOFT,5.0,False,Mercedes,0 days 01:14:54.089000,2026-07-17 16:01:34.405,1,,,,False,True,FP2,31.4,24.3,38.4
0 days 01:20:29.528000,ANT,12,,17.0,4.0,,,0 days 00:01:07.668000,0 days 00:01:06.880000,0 days 00:00:51.253000,0 days 01:18:31.478000,0 days 01:19:38.327000,0 days 01:20:29.528000,267.0,147.0,49.0,294.0,False,SOFT,6.0,False,Mercedes,0 days 01:17:23.594000,2026-07-17 16:04:03.910,1,,,,False,False,FP2,31.7,24.3,37.9
0 days 01:23:14.491000,ANT,12,,18.0,4.0,,0 days 01:23:10.591000,0 days 00:01:20.345000,0 days 00:00:49.698000,0 days 00:00:34.953000,0 days 01:21:49.922000,0 days 01:22:39.618000,0 days 01:23:14.491000,304.0,208.0,,293.0,False,SOFT,7.0,False,Mercedes,0 days 01:20:29.528000,2026-07-17 16:07:09.844,1,,,,False,False,FP2,31.3,24.4,37.7
