Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:37:00.105000,LIN,41,0 days 00:01:21.838000,9.0,5.0,,,0 days 00:00:29.119000,0 days 00:00:17.581000,0 days 00:00:35.138000,0 days 00:36:07.386000,0 days 00:36:24.967000,0 days 00:37:00.105000,254.0,297.0,298.0,293.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:35:38.267000,2026-03-06 05:22:50.447,1,,,,False,True,FP2
0 days 00:38:59.332000,LIN,41,0 days 00:01:59.227000,10.0,5.0,,,0 days 00:00:39.637000,0 days 00:00:29.044000,0 days 00:00:50.546000,0 days 00:37:39.742000,0 days 00:38:08.786000,0 days 00:38:59.332000,148.0,246.0,275.0,248.0,False,SOFT,3.0,True,Racing Bulls,0 days 00:37:00.105000,2026-03-06 05:24:12.285,1,,,,False,True,FP2
0 days 00:40:20.443000,LIN,41,0 days 00:01:21.111000,11.0,5.0,,,0 days 00:00:28.589000,0 days 00:00:17.503000,0 days 00:00:35.019000,0 days 00:39:27.921000,0 days 00:39:45.424000,0 days 00:40:20.443000,256.0,299.0,309.0,294.0,True,SOFT,4.0,True,Racing Bulls,0 days 00:38:59.332000,2026-03-06 05:26:11.512,1,,,,False,True,FP2
0 days 00:42:31.270000,LIN,41,0 days 00:02:10.827000,12.0,5.0,,,0 days 00:00:45.421000,0 days 00:00:33.029000,0 days 00:00:52.377000,0 days 00:41:05.864000,0 days 00:41:38.893000,0 days 00:42:31.270000,139.0,167.0,180.0,246.0,False,SOFT,5.0,True,Racing Bulls,0 days 00:40:20.443000,2026-03-06 05:27:32.623,1,,,,False,True,FP2
0 days 00:44:20.211000,LIN,41,0 days 00:01:48.941000,13.0,5.0,,,0 days 00:00:43.004000,0 days 00:00:21.552000,0 days 00:00:44.385000,0 days 00:43:14.274000,0 days 00:43:35.826000,0 days 00:44:20.211000,215.0,245.0,275.0,165.0,False,SOFT,6.0,True,Racing Bulls,0 days 00:42:31.270000,2026-03-06 05:29:43.450,1,,,,False,True,FP2
0 days 00:45:41.133000,LIN,41,0 days 00:01:20.922000,14.0,5.0,,,0 days 00:00:28.513000,0 days 00:00:17.484000,0 days 00:00:34.925000,0 days 00:44:48.724000,0 days 00:45:06.208000,0 days 00:45:41.133000,253.0,302.0,307.0,296.0,True,SOFT,7.0,True,Racing Bulls,0 days 00:44:20.211000,2026-03-06 05:31:32.391,1,,,,False,True,FP2
0 days 00:53:12.218000,LIN,41,,15.0,5.0,,0 days 00:47:16.811000,0 days 00:00:35.188000,0 days 00:00:22.667000,,0 days 00:46:16.583000,0 days 00:46:39.266000,,198.0,272.0,,249.0,False,SOFT,8.0,True,Racing Bulls,0 days 00:45:41.133000,2026-03-06 05:32:53.313,1,,,,False,False,FP2
0 days 00:55:15.177000,LIN,41,0 days 00:02:02.959000,16.0,6.0,0 days 00:53:16.039000,,0 days 00:01:02.198000,0 days 00:00:21.728000,0 days 00:00:39.033000,0 days 00:54:14.416000,0 days 00:54:36.144000,0 days 00:55:15.177000,245.0,284.0,274.0,186.0,False,SOFT,9.0,False,Racing Bulls,0 days 00:53:12.218000,2026-03-06 05:40:24.398,1,,,,False,False,FP2
0 days 00:56:41.978000,LIN,41,0 days 00:01:26.801000,17.0,6.0,,,0 days 00:00:30.485000,0 days 00:00:18.510000,0 days 00:00:37.806000,0 days 00:55:45.662000,0 days 00:56:04.172000,0 days 00:56:41.978000,237.0,300.0,297.0,272.0,False,SOFT,10.0,False,Racing Bulls,0 days 00:55:15.177000,2026-03-06 05:42:27.357,1,,,,False,True,FP2
0 days 00:58:08.075000,LIN,41,0 days 00:01:26.097000,18.0,6.0,,,0 days 00:00:30.071000,0 days 00:00:18.378000,0 days 00:00:37.648000,0 days 00:57:12.049000,0 days 00:57:30.427000,0 days 00:58:08.075000,241.0,297.0,294.0,283.0,False,SOFT,11.0,False,Racing Bulls,0 days 00:56:41.978000,2026-03-06 05:43:54.158,1,,,,False,True,FP2
