Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
ALB,23,77.424,8.0,3.0,22.492,31.396,23.536,283.0,288.0,285.0,322.0,True,SOFT,2.0,True,Williams,0 days 00:28:50.180000,1,Q
PER,11,78.13,2.0,1.0,22.729,31.605,23.796,266.0,276.0,298.0,334.0,True,SOFT,2.0,True,Cadillac,0 days 00:20:23.901000,1,Q
PER,11,77.545,5.0,2.0,22.568,31.243,23.734,279.0,289.0,280.0,334.0,True,SOFT,2.0,True,Cadillac,0 days 00:29:43.878000,1,Q
BOT,77,79.105,2.0,1.0,23.054,31.818,24.233,267.0,283.0,286.0,326.0,True,SOFT,2.0,True,Cadillac,0 days 00:14:45.291000,1,Q
BOT,77,78.237,5.0,2.0,22.669,31.738,23.83,270.0,269.0,285.0,334.0,True,SOFT,2.0,True,Cadillac,0 days 00:22:30.674000,12,Q
BOT,77,77.757,8.0,3.0,22.481,31.46,23.816,272.0,282.0,293.0,334.0,True,SOFT,2.0,True,Cadillac,0 days 00:29:38.181000,1,Q
STR,18,79.996,2.0,1.0,23.318,32.211,24.467,276.0,280.0,264.0,323.0,True,SOFT,2.0,True,Aston Martin,0 days 00:15:34.301000,1,Q
STR,18,78.758,7.0,3.0,22.935,31.922,23.901,277.0,277.0,263.0,323.0,True,SOFT,2.0,True,Aston Martin,0 days 00:29:00.775000,1,Q
ALO,14,79.286,2.0,1.0,23.003,32.132,24.151,269.0,264.0,278.0,323.0,True,SOFT,2.0,True,Aston Martin,0 days 00:15:42.575000,1,Q
ALO,14,78.815,7.0,3.0,22.958,31.943,23.914,274.0,280.0,278.0,324.0,True,SOFT,2.0,True,Aston Martin,0 days 00:29:29.010000,1,Q
