Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 01:06:09.460000,STR,18,0 days 00:01:45.579000,20.0,4.0,,,0 days 00:00:36.606000,0 days 00:00:41.770000,0 days 00:00:27.203000,0 days 01:05:00.487000,0 days 01:05:42.257000,0 days 01:06:09.460000,192.0,225.0,299.0,225.0,False,SOFT,3.0,True,Aston Martin,0 days 01:04:23.881000,2026-08-21 11:20:57.778,1,,,,False,True,FP1,28.0,19.4,61.0
0 days 01:07:24.822000,STR,18,0 days 00:01:15.362000,21.0,4.0,,,0 days 00:00:26.062000,0 days 00:00:26.535000,0 days 00:00:22.765000,0 days 01:06:35.522000,0 days 01:07:02.057000,0 days 01:07:24.822000,286.0,279.0,293.0,309.0,False,SOFT,4.0,True,Aston Martin,0 days 01:06:09.460000,2026-08-21 11:22:43.357,1,,,,False,True,FP1,28.0,19.4,61.0
0 days 01:09:20.750000,STR,18,0 days 00:01:55.928000,22.0,4.0,,,0 days 00:00:42.455000,0 days 00:00:37.880000,0 days 00:00:35.593000,0 days 01:08:07.277000,0 days 01:08:45.157000,0 days 01:09:20.750000,179.0,214.0,298.0,215.0,False,SOFT,5.0,True,Aston Martin,0 days 01:07:24.822000,2026-08-21 11:23:58.719,1,,,,False,True,FP1,28.0,19.4,61.0
0 days 01:10:58.279000,STR,18,0 days 00:01:37.529000,23.0,4.0,,,0 days 00:00:26.689000,0 days 00:00:37.026000,0 days 00:00:33.814000,0 days 01:09:47.439000,0 days 01:10:24.465000,0 days 01:10:58.279000,189.0,164.0,299.0,307.0,False,SOFT,6.0,True,Aston Martin,0 days 01:09:20.750000,2026-08-21 11:25:54.647,1,,,,False,True,FP1,28.0,19.4,61.0
0 days 01:12:41.556000,STR,18,0 days 00:01:43.277000,24.0,4.0,,0 days 01:12:40.353000,0 days 00:00:34.625000,0 days 00:00:34.503000,0 days 00:00:34.149000,0 days 01:11:32.904000,0 days 01:12:07.407000,0 days 01:12:41.556000,222.0,198.0,,308.0,False,SOFT,7.0,True,Aston Martin,0 days 01:10:58.279000,2026-08-21 11:27:32.176,1,,,,False,False,FP1,27.7,19.4,60.9
0 days 00:16:41.930000,TSU,22,,1.0,1.0,0 days 00:14:49.609000,0 days 00:16:40.539000,,0 days 00:00:36.538000,0 days 00:00:39.125000,,0 days 00:16:02.982000,0 days 00:16:41.930000,228.0,156.0,,,False,INTERMEDIATE,1.0,True,Racing Bulls,0 days 00:14:49.609000,2026-08-21 10:31:23.506,1,,,,False,False,FP1,27.7,19.4,60.9
0 days 00:21:21.582000,TSU,22,,2.0,2.0,0 days 00:19:50.341000,,,0 days 00:00:31.847000,0 days 00:00:26.247000,,0 days 00:20:55.662000,0 days 00:21:21.828000,247.0,229.0,285.0,,False,HARD,1.0,True,Racing Bulls,0 days 00:16:41.930000,2026-08-21 10:33:15.827,1,,,,False,False,FP1,27.7,19.4,60.9
0 days 00:22:43.030000,TSU,22,0 days 00:01:21.448000,3.0,2.0,,,0 days 00:00:28.720000,0 days 00:00:28.168000,0 days 00:00:24.560000,0 days 00:21:50.302000,0 days 00:22:18.470000,0 days 00:22:43.030000,279.0,274.0,283.0,222.0,True,HARD,2.0,True,Racing Bulls,0 days 00:21:21.582000,2026-08-21 10:37:55.479,1,,,,False,True,FP1,27.7,19.4,60.9
0 days 00:24:01.957000,TSU,22,0 days 00:01:18.927000,4.0,2.0,,,0 days 00:00:27.715000,0 days 00:00:27.578000,0 days 00:00:23.634000,0 days 00:23:10.745000,0 days 00:23:38.323000,0 days 00:24:01.957000,286.0,272.0,307.0,225.0,True,HARD,3.0,True,Racing Bulls,0 days 00:22:43.030000,2026-08-21 10:39:16.927,1,,,,False,True,FP1,27.7,19.4,60.9
0 days 00:25:19.279000,TSU,22,0 days 00:01:17.322000,5.0,2.0,,,0 days 00:00:26.753000,0 days 00:00:27.304000,0 days 00:00:23.265000,0 days 00:24:28.710000,0 days 00:24:56.014000,0 days 00:25:19.279000,283.0,274.0,310.0,254.0,True,HARD,4.0,True,Racing Bulls,0 days 00:24:01.957000,2026-08-21 10:40:35.854,1,,,,False,True,FP1,27.7,19.4,60.9
0 days 00:26:54.645000,TSU,22,0 days 00:01:35.366000,6.0,2.0,,,0 days 00:00:34.909000,0 days 00:00:33.708000,0 days 00:00:26.749000,0 days 00:25:54.188000,0 days 00:26:27.896000,0 days 00:26:54.645000,197.0,235.0,301.0,189.0,False,HARD,5.0,True,Racing Bulls,0 days 00:25:19.279000,2026-08-21 10:41:53.176,1,,,,False,True,FP1,27.7,19.4,60.9
0 days 00:28:11.944000,TSU,22,0 days 00:01:17.299000,7.0,2.0,,,0 days 00:00:26.495000,0 days 00:00:27.442000,0 days 00:00:23.362000,0 days 00:27:21.140000,0 days 00:27:48.582000,0 days 00:28:11.944000,293.0,287.0,299.0,293.0,True,HARD,6.0,True,Racing Bulls,0 days 00:26:54.645000,2026-08-21 10:43:28.542,1,,,,False,True,FP1,27.7,19.4,60.9
0 days 00:30:09.492000,TSU,22,0 days 00:01:57.548000,8.0,2.0,,,0 days 00:00:39.228000,0 days 00:00:42.918000,0 days 00:00:35.402000,0 days 00:28:51.172000,0 days 00:29:34.090000,0 days 00:30:09.492000,156.0,230.0,264.0,192.0,False,HARD,7.0,True,Racing Bulls,0 days 00:28:11.944000,2026-08-21 10:44:45.841,1,,,,False,True,FP1,27.7,19.4,60.9
0 days 00:31:44.355000,TSU,22,0 days 00:01:34.863000,9.0,2.0,,,0 days 00:00:32.967000,0 days 00:00:33.382000,0 days 00:00:28.514000,0 days 00:30:42.459000,0 days 00:31:15.841000,0 days 00:31:44.355000,202.0,151.0,309.0,225.0,False,HARD,8.0,True,Racing Bulls,0 days 00:30:09.492000,2026-08-21 10:46:43.389,12,,,,False,True,FP1,27.7,19.4,60.9
0 days 00:33:08.096000,TSU,22,0 days 00:01:23.741000,10.0,2.0,,,0 days 00:00:27.759000,0 days 00:00:29.123000,0 days 00:00:26.859000,0 days 00:32:12.114000,0 days 00:32:41.237000,0 days 00:33:08.096000,258.0,239.0,301.0,295.0,False,HARD,9.0,True,Racing Bulls,0 days 00:31:44.355000,2026-08-21 10:48:18.252,1,,,,False,True,FP1,28.3,19.3,62.0
0 days 00:34:24.770000,TSU,22,0 days 00:01:16.674000,11.0,2.0,,,0 days 00:00:26.156000,0 days 00:00:27.159000,0 days 00:00:23.359000,0 days 00:33:34.252000,0 days 00:34:01.411000,0 days 00:34:24.770000,293.0,287.0,298.0,300.0,True,HARD,10.0,True,Racing Bulls,0 days 00:33:08.096000,2026-08-21 10:49:41.993,1,,,,False,True,FP1,28.3,19.3,62.0
0 days 00:36:05.629000,TSU,22,0 days 00:01:40.859000,12.0,2.0,,,0 days 00:00:34.098000,0 days 00:00:36.444000,0 days 00:00:30.317000,0 days 00:34:58.868000,0 days 00:35:35.312000,0 days 00:36:05.629000,221.0,109.0,303.0,206.0,False,HARD,11.0,True,Racing Bulls,0 days 00:34:24.770000,2026-08-21 10:50:58.667,1,,,,False,True,FP1,28.3,19.3,62.0
0 days 00:37:22.126000,TSU,22,0 days 00:01:16.497000,13.0,2.0,,,0 days 00:00:26.016000,0 days 00:00:27.195000,0 days 00:00:23.286000,0 days 00:36:31.645000,0 days 00:36:58.840000,0 days 00:37:22.126000,292.0,286.0,304.0,300.0,True,HARD,12.0,True,Racing Bulls,0 days 00:36:05.629000,2026-08-21 10:52:39.526,1,,,,False,True,FP1,28.3,19.3,62.0
0 days 00:39:09.576000,TSU,22,0 days 00:01:47.450000,14.0,2.0,,,0 days 00:00:40.725000,0 days 00:00:40.444000,0 days 00:00:26.281000,0 days 00:38:02.851000,0 days 00:38:43.295000,0 days 00:39:09.576000,133.0,204.0,301.0,219.0,False,HARD,13.0,True,Racing Bulls,0 days 00:37:22.126000,2026-08-21 10:53:56.023,1,,,,False,True,FP1,28.3,19.3,62.0
0 days 00:40:25.441000,TSU,22,0 days 00:01:15.865000,15.0,2.0,,,0 days 00:00:25.928000,0 days 00:00:26.930000,0 days 00:00:23.007000,0 days 00:39:35.504000,0 days 00:40:02.434000,0 days 00:40:25.441000,291.0,285.0,305.0,305.0,True,HARD,14.0,True,Racing Bulls,0 days 00:39:09.576000,2026-08-21 10:55:43.473,12,,,,False,True,FP1,28.3,19.3,62.0
0 days 00:42:02.988000,TSU,22,0 days 00:01:37.547000,16.0,2.0,,0 days 00:42:01.890000,0 days 00:00:31.979000,0 days 00:00:32.669000,0 days 00:00:32.899000,0 days 00:40:57.420000,0 days 00:41:30.089000,0 days 00:42:02.988000,227.0,248.0,,238.0,False,HARD,15.0,True,Racing Bulls,0 days 00:40:25.441000,2026-08-21 10:56:59.338,1,,,,False,False,FP1,28.3,19.3,62.0
0 days 00:49:32.729000,TSU,22,,17.0,3.0,0 days 00:47:51.643000,,,0 days 00:00:28.242000,0 days 00:00:23.584000,,0 days 00:49:09.265000,0 days 00:49:32.788000,288.0,283.0,320.0,238.0,False,HARD,16.0,False,Racing Bulls,0 days 00:42:02.988000,2026-08-21 10:58:36.885,1,,,,False,False,FP1,28.3,19.3,62.0
0 days 00:50:50.885000,TSU,22,0 days 00:01:18.156000,18.0,3.0,,,0 days 00:00:26.687000,0 days 00:00:28.019000,0 days 00:00:23.450000,0 days 00:49:59.416000,0 days 00:50:27.435000,0 days 00:50:50.885000,286.0,273.0,305.0,292.0,False,HARD,17.0,False,Racing Bulls,0 days 00:49:32.729000,2026-08-21 11:06:06.626,1,,,,False,True,FP1,28.3,19.3,62.0
